#gene_id,gene_name,Length
ENSG00000249349.1,CTC-384G19.1,415
ENSG00000248674.1,RBBP4P6,202
ENSG00000250253.3,RP11-1072N2.2,844
ENSG00000249792.1,RP11-1072N2.3,657
ENSG00000248170.1,RP11-1072N2.4,394
ENSG00000248667.1,CTD-2331D11.2,424
ENSG00000249023.1,CTD-2331D11.3,483
ENSG00000249842.1,CTD-2331D11.4,785
ENSG00000243859.3,RPL5P17,877
ENSG00000215953.1,AC026700.1,91
ENSG00000251066.1,CTC-534B23.1,544
ENSG00000250874.1,CTC-480C2.1,1453
ENSG00000241965.2,RPS2P25,580
ENSG00000249153.1,CTD-2036A18.2,698
ENSG00000250359.1,PTP4A1P4,322
ENSG00000205449.10,NBPF22P,14004
ENSG00000280009.1,CTD-2123J17.2,917
ENSG00000248195.1,CTC-261N6.3,785
ENSG00000248363.4,CTC-261N6.1,15052
ENSG00000250124.1,CTC-261N6.2,767
ENSG00000251585.1,CTD-2299E8.1,496
ENSG00000127184.9,COX7C,3059
ENSG00000207013.1,RNU6-804P,107
ENSG00000250544.1,CTC-493L21.1,2955
ENSG00000248701.1,CTC-493L21.2,2596
ENSG00000242477.1,CTD-2161E19.1,651
ENSG00000249061.1,RP11-72L22.1,170392
ENSG00000251951.1,RN7SKP34,244
ENSG00000265919.1,MIR4280,76
ENSG00000233828.3,CTC-242N15.1,34738
ENSG00000145715.13,RASA1,124044
ENSG00000241243.3,RN7SL629P,285
ENSG00000207452.1,RNU6-606P,111
ENSG00000272367.1,CTC-428H11.2,925
ENSG00000134480.12,CCNH,21526
ENSG00000200462.1,RNU6-727P,107
ENSG00000249362.1,CTD-2316B1.1,17106
ENSG00000248708.1,CTD-2316B1.2,20135
ENSG00000164180.12,TMEM161B,79844
ENSG00000279188.1,AC010243.1,373
ENSG00000247828.6,TMEM161B-AS1,167791
ENSG00000207129.1,RNA5SP187,119
ENSG00000240083.2,RPS3AP22,769
ENSG00000206958.1,SNORA70,136
ENSG00000250306.1,CTC-498M16.3,313
ENSG00000250156.3,CTC-498M16.2,30109
ENSG00000271904.1,CTC-498M16.4,64806
ENSG00000245526.7,LINC00461,183496
ENSG00000250705.1,CTC-470C15.1,338
ENSG00000273878.1,MIR9-2,87
ENSG00000245864.2,CTC-467M3.1,46614
ENSG00000250377.1,CTC-467M3.3,1328
ENSG00000250555.2,CTC-467M3.2,209
ENSG00000081189.12,MEF2C,187141
ENSG00000248309.4,MEF2C-AS1,583071
ENSG00000250831.1,CTD-2232E5.2,3503
ENSG00000250437.1,RP11-116A1.1,96493
ENSG00000277793.1,AC112179.1,105
ENSG00000214942.4,AC113167.1,4245
ENSG00000249265.1,AC113167.2,2664
ENSG00000264342.2,MIR3660,111
ENSG00000248555.5,LINC01339,131733
ENSG00000253321.1,RP11-61G23.2,3573
ENSG00000260871.1,CTD-2373J6.1,896
ENSG00000153140.7,CETN3,17526
ENSG00000255647.3,CTD-2373J6.2,670
ENSG00000176055.9,MBLAC2,16566
ENSG00000113356.9,POLR3G,42806
ENSG00000176018.11,LYSMD3,13974
ENSG00000164199.14,GPR98,634878
ENSG00000276922.1,AC099512.1,112
ENSG00000249514.1,CTD-2266L18.1,318
ENSG00000212930.3,RP11-414H23.2,549
ENSG00000251093.1,RP11-414H23.3,597
ENSG00000199643.1,RNU4-90P,141
ENSG00000234292.3,RP11-213H15.1,1046
ENSG00000248323.4,LUCAT1,11374
ENSG00000271762.1,RP11-213H15.4,1346
ENSG00000277001.1,Metazoa_SRP,282
ENSG00000240388.2,CTD-2061E19.1,457
ENSG00000241059.2,CTD-2061E19.6,647
ENSG00000113369.7,ARRDC3,14636
ENSG00000281357.1,ARRDC3-AS1,58737
ENSG00000251356.1,RAB5CP2,637
ENSG00000248826.2,PCBP2P3,843
ENSG00000276426.1,uc_338,95
ENSG00000250049.4,RP11-348J24.2,396830
ENSG00000248864.1,RP11-348J24.1,3355
ENSG00000264489.2,AC120120.1,104
ENSG00000249776.4,RP11-133F8.2,250608
ENSG00000249169.1,CTC-529L17.1,24294
ENSG00000249984.1,CTC-529L17.2,12299
ENSG00000248588.1,CTC-458G6.4,17750
ENSG00000248950.1,LDHBP3,822
ENSG00000249958.1,CCT7P2,1454
ENSG00000248528.1,CTC-458G6.2,32412
ENSG00000251361.1,CTD-2091N23.1,49007
ENSG00000213730.3,POLD2P1,997
ENSG00000237187.7,NR2F1-AS1,176290
ENSG00000175745.10,NR2F1,11279
ENSG00000278905.1,RP11-65F13.3,3242
ENSG00000113391.15,FAM172A,493631
ENSG00000251725.1,MIR2277,93
ENSG00000249353.2,NPM1P27,830
ENSG00000248483.5,POU5F2,6832
ENSG00000272406.1,RP11-185E12.2,1861
ENSG00000251023.1,RP11-549J18.1,3157
ENSG00000185261.12,KIAA0825,465639
ENSG00000251544.1,MTND5P12,1449
ENSG00000254132.1,MTND6P3,542
ENSG00000251340.1,RP11-461G12.2,1137
ENSG00000232578.4,CTC-303L1.1,2021
ENSG00000270133.1,CTC-303L1.2,6217
ENSG00000133302.11,ANKRD32,121090
ENSG00000175471.18,MCTP1,580835
ENSG00000249175.1,CTC-484P3.3,4811
ENSG00000243806.1,RPL7P18,734
ENSG00000276514.1,uc_338,179
ENSG00000249545.1,CTC-558O19.1,1743
ENSG00000153347.8,FAM81B,59111
ENSG00000225165.3,CTD-2538A21.1,644
ENSG00000198677.9,TTC37,91113
ENSG00000212259.1,RNU6-308P,107
ENSG00000164291.15,ARSK,49991
ENSG00000274992.1,AC008547.1,101
ENSG00000178015.4,GPR150,2065
ENSG00000175449.12,RFESD,38020
ENSG00000145757.14,SPATA9,46531
ENSG00000250240.4,CTD-2154I11.2,31047
ENSG00000164292.11,RHOBTB3,110862
ENSG00000173221.12,GLRX,71687
ENSG00000251348.1,HSPD1P11,1702
ENSG00000251000.1,AC008592.3,623
ENSG00000251409.1,AC008592.4,16779
ENSG00000272021.1,AC008592.8,547
ENSG00000236882.6,LINC01554,7902
ENSG00000250362.1,AC008592.5,12734
ENSG00000118985.13,ELL2,76974
ENSG00000251314.2,CTD-2337A12.1,669085
ENSG00000250955.1,AC008592.7,21313
ENSG00000213716.3,FABP5P5,406
ENSG00000250551.1,RP11-254I22.1,165405
ENSG00000207578.1,MIR583,75
ENSG00000206997.1,RNU6-524P,107
ENSG00000249746.1,RP11-254I22.3,1730
ENSG00000250158.1,RP11-254I22.2,30976
ENSG00000175426.9,PCSK1,43729
ENSG00000153113.22,CAST,254329
ENSG00000238518.1,AC020900.1,85
ENSG00000249180.1,CTC-506B8.1,1620
ENSG00000164307.11,ERAP1,47291
ENSG00000248734.2,CTD-2260A17.1,1223
ENSG00000281288.1,AC008906.1,143
ENSG00000272109.1,CTD-2260A17.3,1753
ENSG00000247121.5,CTD-2260A17.2,121782
ENSG00000164308.15,ERAP2,43778
ENSG00000113441.14,LNPEP,102122
ENSG00000227836.1,AC008850.3,886
ENSG00000200884.1,Y_RNA,102
ENSG00000213701.4,SETP22,957
ENSG00000251513.2,CTD-2215E18.1,348143
ENSG00000281286.1,AC008865.1,129
ENSG00000145721.10,LIX1,51006
ENSG00000058729.9,RIOK2,22394
ENSG00000206698.1,RNU1-73P,164
ENSG00000248758.1,CTD-2215E18.2,13791
ENSG00000251054.1,CTD-2215E18.3,4587
ENSG00000249761.1,CTD-2278B20.1,183
ENSG00000251389.1,YTHDF1P1,1646
ENSG00000249977.1,RP11-155G15.3,384
ENSG00000250331.1,LINC01340,166351
ENSG00000248931.1,RP11-72K17.2,1135
ENSG00000251193.1,RP11-72K17.1,1020
ENSG00000248202.1,RP11-455B3.1,41276
ENSG00000249101.1,AC008834.2,175
ENSG00000248901.1,AC008834.1,74934
ENSG00000249135.1,RP11-274E7.1,2135
ENSG00000238000.1,RP11-274E7.2,720
ENSG00000176183.8,CH17-12M21.1,1089
ENSG00000250221.1,KRT8P32,1461
ENSG00000250830.1,MRPS35P2,191
ENSG00000249990.1,RP11-474J18.2,426
ENSG00000249448.1,RP11-474J18.1,1558
ENSG00000251102.1,CTBP2P4,920
ENSG00000223053.1,AC022142.1,135
ENSG00000251553.1,CTC-463N11.1,1966
ENSG00000174136.10,RGMB,29994
ENSG00000246763.5,RGMB-AS1,3852
ENSG00000279232.1,DKFZp434P228,2904
ENSG00000250162.1,CSNK1A1P3,330
ENSG00000153922.9,CHD1,74973
ENSG00000222610.1,RNU6-402P,103
ENSG00000248489.1,CTD-2007H13.3,65843
ENSG00000200351.1,Y_RNA,110
ENSG00000241597.2,CTD-2007H13.1,579
ENSG00000249444.2,RP11-93O17.1,9809
ENSG00000206356.5,RP11-93O17.2,3152
ENSG00000227762.4,GUSBP8,1984
ENSG00000249515.1,CTD-2151A2.1,28526
ENSG00000248236.1,CTD-2151A2.2,412
ENSG00000248928.1,CTD-2151A2.3,418
ENSG00000250391.1,CTD-2160D9.1,1289
ENSG00000249963.1,EEF1A1P20,1386
ENSG00000199378.1,Y_RNA,103
ENSG00000270232.1,RP11-475J5.7,447
ENSG00000270230.1,RP11-475J5.11,521
ENSG00000271687.1,MTND5P10,1809
ENSG00000270906.1,RP11-475J5.6,1375
ENSG00000270350.1,RP11-475J5.9,292
ENSG00000264839.1,AC113407.1,74
ENSG00000271480.1,RP11-475J5.10,345
ENSG00000270388.1,RP11-475J5.8,784
ENSG00000270307.1,MTATP6P2,678
ENSG00000270225.1,RP11-475J5.4,681
ENSG00000271207.1,RP11-475J5.5,1360
ENSG00000274455.1,CTD-2012B7.1,5680
ENSG00000207077.1,RNU6-1119P,108
ENSG00000275374.1,RP11-346J10.2,5699
ENSG00000273957.1,RP11-346J10.3,1086
ENSG00000249787.1,RP11-346J10.1,7459
ENSG00000247877.5,CTD-2001C12.1,85509
ENSG00000174132.8,FAM174A,51437
ENSG00000250806.2,CTC-293G12.1,3859
ENSG00000207269.1,RN7SKP62,329
ENSG00000113532.11,ST8SIA4,96332
ENSG00000221263.1,MIR548P,84
ENSG00000277212.1,AC116311.1,110
ENSG00000277506.1,Metazoa_SRP,299
ENSG00000251261.4,OR7H2P,306
ENSG00000249495.1,RP11-1152B5.1,503
ENSG00000277724.1,AC106765.1,99
ENSG00000199786.1,RNA5SP188,129
ENSG00000248261.1,CTD-2333K2.1,2496
ENSG00000173930.8,SLCO4C1,62564
ENSG00000222987.1,RN7SKP68,307
ENSG00000205359.8,SLCO6A1,127235
ENSG00000249017.1,RP11-58B2.1,5130
ENSG00000250958.1,LINC00492,36222
ENSG00000247402.2,CTD-2340E1.2,563
ENSG00000250682.4,LINC00491,62404
ENSG00000145730.19,PAM,277125
ENSG00000175749.11,EIF3KP1,656
ENSG00000145723.15,GIN1,34152
ENSG00000145725.18,PPIP5K2,92651
ENSG00000248203.1,CTC-503K11.2,7472
ENSG00000181751.8,C5orf30,19959
ENSG00000250567.1,CTD-2154H6.1,3571
ENSG00000226926.5,AC010423.1,96213
ENSG00000248757.1,CTD-2193G5.1,12310
ENSG00000112874.8,NUDT12,13939
ENSG00000251026.1,RP11-138J23.1,25493
ENSG00000201910.1,RNU1-140P,165
ENSG00000239808.3,RN7SL255P,296
ENSG00000251574.5,RP11-6N13.1,1009673
ENSG00000278958.1,RP11-313L6.2,728
ENSG00000253776.1,RP11-6N13.4,26132
ENSG00000252881.1,RNU6-334P,102
ENSG00000253584.1,CTD-2374C24.1,328873
ENSG00000232159.3,RAB9BP1,626
ENSG00000201790.1,RNA5SP189,115
ENSG00000251204.1,CTC-278L1.1,1666
ENSG00000250145.1,CTD-2285G11.1,1265
ENSG00000252337.1,SNORA31,139
ENSG00000251027.1,CTC-254B4.1,195818
ENSG00000250273.1,PSMC1P5,177
ENSG00000184349.11,EFNA5,294007
ENSG00000249959.4,RP11-252I13.2,17007
ENSG00000248827.1,RP11-252I13.1,2157
ENSG00000239708.3,RN7SL782P,294
ENSG00000251732.1,RN7SKP122,296
ENSG00000145743.14,FBXL17,523064
ENSG00000244245.1,RP11-120B7.1,359
ENSG00000272523.1,LINC01023,436
ENSG00000151422.11,FER,449020
ENSG00000249921.2,CTC-329H14.1,1455
ENSG00000250383.1,CTD-2197I11.1,12750
ENSG00000207404.1,Y_RNA,110
ENSG00000250441.1,RP11-47F1.1,282
ENSG00000206593.1,RNU6-47P,107
ENSG00000176857.5,GJA1P1,1143
ENSG00000249476.1,CTD-2587M2.1,89250
ENSG00000198961.8,PJA2,75286
ENSG00000248867.1,CTD-2128F4.1,715
ENSG00000251367.1,RP11-231G15.2,600
ENSG00000248876.1,RP11-231G15.3,744
ENSG00000248440.1,RP11-231G15.1,1232
ENSG00000214794.4,KRT18P42,1255
ENSG00000281444.1,AC012603.2,96
ENSG00000266090.1,AC012603.1,113
ENSG00000271849.1,CTC-332L22.1,528
ENSG00000112893.8,MAN2A1,180260
ENSG00000202512.1,RN7SKP230,335
ENSG00000249068.1,CTC-287O8.1,565
ENSG00000254106.1,AC011366.3,1570
ENSG00000253224.1,PGAM5P1,814
ENSG00000186952.13,TMEM232,449724
ENSG00000221436.1,MIR548F3,87
ENSG00000207177.1,SNORA51,134
ENSG00000164209.15,SLC25A46,27026
ENSG00000270779.1,CTD-2026D23.1,430
ENSG00000248966.1,BCLAF1P1,2752
ENSG00000248428.1,CTC-551A13.1,37949
ENSG00000251627.1,CTD-2089O24.2,904
ENSG00000145777.13,TSLP,7963
ENSG00000253613.2,CTC-551A13.2,15195
ENSG00000134987.10,WDR36,38787
ENSG00000250728.1,AC010468.3,909
ENSG00000214784.4,AC010468.1,817
ENSG00000152495.9,CAMK4,271234
ENSG00000249318.1,AC010468.2,4281
ENSG00000248268.1,CTC-499J9.1,25051
ENSG00000164211.11,STARD4,16558
ENSG00000246859.2,STARD4-AS1,227501
ENSG00000221310.1,AC008967.1,86
ENSG00000249619.1,HMGN1P13,138
ENSG00000251099.2,CTD-2367A17.1,163
ENSG00000134986.12,NREP,334844
ENSG00000253057.1,RN7SKP57,293
ENSG00000249439.1,HMGN1P14,517
ENSG00000250095.4,NREP-AS1,104802
ENSG00000129595.11,EPB41L4A,276876
ENSG00000224032.5,EPB41L4A-AS1,3751
ENSG00000238363.1,SNORA13,133
ENSG00000250882.1,CTC-459M5.1,1979
ENSG00000251187.4,CTC-459M5.2,18120
ENSG00000251076.1,RP11-526F3.1,29027
ENSG00000248350.1,CTC-470E21.1,211
ENSG00000278921.2,EPB41L4A-AS2,1396
ENSG00000248430.1,HMGB3P16,287
ENSG00000251014.1,RP11-159K7.1,533
ENSG00000250358.4,RP11-159K7.2,3665
ENSG00000134982.15,APC,138742
ENSG00000250045.2,CBX3P3,532
ENSG00000212370.1,RNU6-482P,107
ENSG00000258864.1,CTC-554D6.1,40370
ENSG00000153037.11,SRP19,8601
ENSG00000272869.4,CTC-487M23.8,31892
ENSG00000129625.11,REEP5,46161
ENSG00000249947.2,XBP1P1,652
ENSG00000212643.2,ZRSR1,1673
ENSG00000270067.1,CTC-487M23.5,669
ENSG00000279522.1,CTC-487M23.6,1599
ENSG00000272389.1,CTC-487M23.7,349
ENSG00000266499.1,AC008536.1,100
ENSG00000172795.14,DCP2,44269
ENSG00000171444.16,MCC,466732
ENSG00000232633.4,CTD-2201G3.1,114147
ENSG00000277074.1,AC126917.1,93
ENSG00000212122.3,TSSK1B,2478
ENSG00000251741.1,RNU4ATAC13P,126
ENSG00000047188.14,YTHDC2,81603
ENSG00000251628.1,RP11-371M22.1,1169
ENSG00000222706.1,RN7SKP89,242
ENSG00000080709.13,KCNN2,135696
ENSG00000246316.6,RP11-492A10.1,179414
ENSG00000251542.1,CTC-313D10.1,3930
ENSG00000251132.1,RP11-438C19.2,622
ENSG00000250242.1,RP11-438C19.1,584
ENSG00000152503.8,TRIM36,55785
ENSG00000250472.1,TRIM36-IT1,881
ENSG00000249791.1,CTC-428G20.2,370
ENSG00000164219.8,PGGT1B,58861
ENSG00000271797.1,CTC-428G20.6,944
ENSG00000243304.3,CTC-428G20.1,796
ENSG00000164221.11,CCDC112,29644
ENSG00000250197.1,HMGN1P15,295
ENSG00000249026.2,CTNNAP1,2728
ENSG00000248722.1,AK3P4,583
ENSG00000249944.1,CTB-161J7.1,298
ENSG00000249433.1,CTB-161J7.2,265
ENSG00000250444.1,CCT5P1,1618
ENSG00000145780.7,FEM1C,23987
ENSG00000251201.7,TMED7-TICAM2,47520
ENSG00000243414.5,TICAM2,23830
ENSG00000249249.1,AC010226.4,18603
ENSG00000134970.13,TMED7,19485
ENSG00000249021.1,CTC-505O3.3,706
ENSG00000248709.1,CTC-505O3.2,643
ENSG00000251118.1,CTC-505O3.1,404
ENSG00000222598.1,RNU2-49P,184
ENSG00000129596.4,CDO1,12222
ENSG00000145782.11,ATG12,13659
ENSG00000177879.13,AP3S1,72601
ENSG00000280329.1,AC026449.1,2475
ENSG00000172901.18,AQPEP,65166
ENSG00000248295.2,DDX43P1,1763
ENSG00000268714.3,CTD-2287O16.3,36538
ENSG00000221778.2,AC034236.2,94
ENSG00000220996.1,AC034236.1,91
ENSG00000268223.2,ARL14EPL,8653
ENSG00000185641.6,CTD-2287O16.1,373
ENSG00000272265.1,CTD-2287O16.4,461
ENSG00000271918.1,CTD-2287O16.5,1610
ENSG00000145781.7,COMMD10,327772
ENSG00000212457.1,RNU6-644P,98
ENSG00000232916.1,HMGN2P27,270
ENSG00000250015.1,CTC-339F2.2,1781
ENSG00000092421.15,SEMA6A,131319
ENSG00000248445.4,SEMA6A-AS1,60730
ENSG00000239528.1,RPS14P8,369
ENSG00000249167.1,CTB-118N6.2,16917
ENSG00000197575.6,RPS17P2,408
ENSG00000251311.1,RP11-249M12.2,19219
ENSG00000249150.1,CTC-472C24.1,9195
ENSG00000250650.1,RP11-492L8.1,132
ENSG00000250949.1,RP11-492L8.2,7370
ENSG00000243758.1,RPL35AP15,339
ENSG00000248663.5,LINC00992,130790
ENSG00000251477.1,RP11-74D3.2,2858
ENSG00000249582.1,RPL7L1P4,707
ENSG00000281682.1,AC114945.1,136
ENSG00000249797.1,CTD-3179P9.1,341028
ENSG00000250427.1,CTD-3179P9.2,2208
ENSG00000250891.1,CTD-2281M20.1,93962
ENSG00000249551.1,RP11-2N5.2,5750
ENSG00000249128.1,RP11-2N5.1,31905
ENSG00000238904.1,RNU7-34P,64
ENSG00000249426.1,CTC-448D22.1,24986
ENSG00000169570.8,DTWD2,151224
ENSG00000197744.5,PTMAP2,327
ENSG00000249494.4,CTB-161M19.4,64544
ENSG00000250678.1,CTB-161M19.1,483
ENSG00000250928.1,CTB-161M19.2,586
ENSG00000172869.13,DMXL1,211367
ENSG00000248885.1,RP11-950K24.2,1663
ENSG00000248979.2,LAMTOR3P2,232
ENSG00000206786.1,RNU6-701P,107
ENSG00000264536.1,MIR5706,80
ENSG00000275541.1,AC118465.1,91
ENSG00000266587.1,AC027320.1,98
ENSG00000145779.7,TNFAIP8,130997
ENSG00000243333.3,RN7SL174P,289
ENSG00000281463.1,AC035144.1,101
ENSG00000202092.1,RNA5SP190,118
ENSG00000133835.13,HSD17B4,184757
ENSG00000213663.4,CTD-2158P22.1,476
ENSG00000249919.1,FABP5P6,409
ENSG00000164334.14,FAM170A,6264
ENSG00000250895.1,CTD-2158P22.4,478
ENSG00000234259.3,CTC-507E12.1,884
ENSG00000251293.1,CTC-552D5.1,88055
ENSG00000251975.1,RNU6-718P,105
ENSG00000261036.1,RP11-574H6.1,58931
ENSG00000184838.13,PRR16,223055
ENSG00000270741.1,RP11-565F4.1,295
ENSG00000222609.1,RNU4-69P,143
ENSG00000248927.1,CTD-2334D19.1,9561
ENSG00000251135.2,AC008565.1,3943
ENSG00000248853.1,CTD-2613O8.1,1710
ENSG00000250847.1,CTD-2020P22.1,231
ENSG00000229855.7,CTC-546K23.1,157695
ENSG00000279860.1,CTC-546K23.2,2313
ENSG00000244088.1,RP11-510I6.1,473
ENSG00000213661.3,RP11-510I6.2,561
ENSG00000249600.1,RP11-510I6.3,500
ENSG00000181867.2,FTMT,879
ENSG00000151304.5,SRFBP1,113610
ENSG00000113083.11,LOX,15091
ENSG00000247311.2,CTC-441N14.2,26095
ENSG00000164185.4,ZNF474,50105
ENSG00000249610.1,CTC-441N14.1,1520
ENSG00000250803.4,CTC-441N14.4,25291
ENSG00000272139.1,CTD-2544H17.2,377
ENSG00000064692.17,SNCAIP,152866
ENSG00000249621.1,CTD-2544H17.1,2068
ENSG00000249916.1,CTD-2280E9.1,13807
ENSG00000250328.4,MGC32805,42591
ENSG00000277169.1,AC022101.1,68
ENSG00000251538.4,RP11-166A12.1,101734
ENSG00000240058.3,ARGFXP1,961
ENSG00000205302.5,SNX2,55113
ENSG00000212114.1,AC093267.1,97
ENSG00000260686.1,CTB-36H16.2,2178
ENSG00000064652.9,SNX24,185916
ENSG00000263432.2,RN7SL689P,297
ENSG00000168938.5,PPIC,13492
ENSG00000249996.1,RP11-359P5.1,18397
ENSG00000276047.1,Metazoa_SRP,299
ENSG00000223652.2,AC106786.1,3052
ENSG00000061455.10,PRDM6,105146
ENSG00000213655.4,CTD-2347I17.1,292
ENSG00000168944.14,CEP120,78708
ENSG00000250539.1,KRT8P33,1423
ENSG00000249400.1,HMGB3P17,649
ENSG00000279772.1,CTD-2169H9.1,452
ENSG00000151292.16,CSNK1G3,104947
ENSG00000235275.3,KRT18P16,1294
ENSG00000253807.4,LINC01170,345286
ENSG00000250862.1,HMGB1P29,499
ENSG00000251421.2,CTC-369A16.2,5053
ENSG00000248600.1,CTD-2308B18.4,4726
ENSG00000251214.1,CTD-2308B18.1,638
ENSG00000250438.1,CTD-2308B18.2,311
ENSG00000248296.1,CTD-2308B18.3,43574
ENSG00000168916.14,ZNF608,111895
ENSG00000249112.1,RP11-43D2.2,2911
ENSG00000251456.1,RP11-436H11.5,558
ENSG00000242814.2,RP11-436H11.1,406
ENSG00000248443.1,RP11-284A20.3,819
ENSG00000249261.1,RP11-284A20.2,943
ENSG00000249423.1,RP11-284A20.1,1652
ENSG00000250411.1,RP11-257I8.2,5409
ENSG00000250194.1,RP11-257I8.1,316
ENSG00000249365.1,RP11-508M8.1,41726
ENSG00000250721.1,HMGB1P22,124
ENSG00000274872.1,AC109471.1,85
ENSG00000281608.1,RP11-395P13.7,42385
ENSG00000222107.1,RN7SKP117,264
ENSG00000250402.2,RP11-395P13.4,612
ENSG00000260192.1,RP11-756H20.1,108967
ENSG00000249950.1,CTC-394G3.1,448
ENSG00000249904.1,CTC-394G3.2,469
ENSG00000241888.2,RPSAP37,1309
ENSG00000248752.1,RP11-114J13.1,203002
ENSG00000248107.1,CTC-339D2.1,14274
ENSG00000265637.1,AC010235.1,81
ENSG00000155324.8,GRAMD3,136363
ENSG00000250602.4,RP11-517I3.1,56867
ENSG00000279118.1,RP11-517I3.2,2326
ENSG00000164904.14,ALDH7A1,53578
ENSG00000164902.12,PHAX,26985
ENSG00000230929.5,RP11-395C3.1,301
ENSG00000196900.4,TEX43,4566
ENSG00000213630.3,BOLA3P3,232
ENSG00000249768.2,HSPE1P10,558
ENSG00000251072.2,RP11-434D11.4,24524
ENSG00000252185.1,RNU6-752P,102
ENSG00000113368.10,LMNB1,60398
ENSG00000173926.5,MARCH3,163095
ENSG00000164241.12,C5orf63,30935
ENSG00000279446.1,AC005915.1,2018
ENSG00000214743.4,MRPS5P3,166
ENSG00000250080.1,CTB-88F18.2,1732
ENSG00000271585.1,CTB-88F18.4,355
ENSG00000250956.1,CTB-88F18.3,145
ENSG00000145794.15,MEGF10,174907
ENSG00000249577.1,CTD-2195M15.1,297
ENSG00000271766.1,CTD-2195M15.3,443
ENSG00000250859.1,HNRNPKP1,1379
ENSG00000164244.19,PRRC1,37481
ENSG00000205279.7,CTXN3,9587
ENSG00000248799.1,CTC-548H10.2,12337
ENSG00000230561.3,LINC01183,238245
ENSG00000251032.1,CUL1P1,2425
ENSG00000250603.1,CTC-228N24.2,19319
ENSG00000245937.6,LINC01184,142747
ENSG00000064651.12,SLC12A2,105923
ENSG00000250329.1,KDELC1P1,1509
ENSG00000138829.9,FBN2,401277
ENSG00000207290.1,Y_RNA,114
ENSG00000113396.11,SLC27A6,495630
ENSG00000248634.1,CTC-573M9.1,78852
ENSG00000066583.10,ISOC1,19278
ENSG00000264563.1,MIR4633,79
ENSG00000265691.1,MIR4460,86
ENSG00000249421.1,ADAMTS19-AS1,1131
ENSG00000145808.7,ADAMTS19,278419
ENSG00000251680.4,CTC-575N7.1,405557
ENSG00000186367.6,KIAA1024L,18654
ENSG00000198108.3,CHSY3,282163
ENSG00000221562.1,RNU6ATAC10P,111
ENSG00000199455.1,RNA5SP191,102
ENSG00000248610.1,HSPA8P4,1920
ENSG00000263954.1,AC004769.1,69
ENSG00000252514.1,RNU7-53P,60
ENSG00000249312.1,ARL2BPP4,471
ENSG00000249418.2,AC005741.2,432
ENSG00000244192.1,RP11-114H7.1,532
ENSG00000250405.2,RP11-114H7.2,1912
ENSG00000248955.1,RP11-114H7.3,160
ENSG00000169567.10,HINT1,12709
ENSG00000186687.14,LYRM7,34617
ENSG00000158985.12,CDC42SE2,152955
ENSG00000279370.1,RP1-247F3.1,287
ENSG00000158987.18,RAPGEF6,211316
ENSG00000273217.1,CTC-432M15.3,371093
ENSG00000281164.1,RAPGEF6,207765
ENSG00000275939.1,uc_338,166
ENSG00000217128.10,FNIP1,155350
ENSG00000279584.1,AC005593.2,515
ENSG00000164398.11,ACSL6,205254
ENSG00000239642.4,MEIKIN,138576
ENSG00000234758.1,AC034228.4,23813
ENSG00000223548.1,AC034228.3,3431
ENSG00000231585.1,AC034228.2,1752
ENSG00000164399.4,IL3,2676
ENSG00000164400.5,CSF2,2381
ENSG00000253067.1,snoZ6,68
ENSG00000227616.1,AC063976.1,2069
ENSG00000235775.1,AC063976.2,163
ENSG00000224015.1,AC063976.3,1895
ENSG00000237714.1,P4HA2-AS1,7933
ENSG00000072682.17,P4HA2,103478
ENSG00000224431.1,AC063976.7,4032
ENSG00000131435.11,PDLIM4,15784
ENSG00000197208.5,SLC22A4,49764
ENSG00000233006.5,AC034220.3,58632
ENSG00000263597.1,MIR3936,110
ENSG00000197375.11,SLC22A5,25863
ENSG00000197536.9,C5orf56,65409
ENSG00000238160.1,AC116366.5,7299
ENSG00000202533.1,Y_RNA,111
ENSG00000234290.2,AC116366.6,4154
ENSG00000125347.12,IRF1,9190
ENSG00000277192.1,RP11-89G4.1,321
ENSG00000113525.8,IL5,15395
ENSG00000113522.12,RAD50,90326
ENSG00000223442.1,AC004041.2,33684
ENSG00000169194.8,IL13,4848
ENSG00000113520.9,IL4,8691
ENSG00000230612.2,AC004237.1,35045
ENSG00000131437.14,KIF3A,45011
ENSG00000205089.6,CCNI2,6959
ENSG00000164402.12,SEPT8,56425
ENSG00000198944.5,SOWAHA,3211
ENSG00000272203.1,AC004775.5,753
ENSG00000164403.13,SHROOM1,8758
ENSG00000201274.1,RNA5SP192,120
ENSG00000164404.7,GDF9,5704
ENSG00000164405.9,UQCRQ,1472
ENSG00000164406.7,LEAP2,2725
ENSG00000072364.11,AFF4,88256
ENSG00000235253.1,AC010240.2,2119
ENSG00000202417.1,Y_RNA,113
ENSG00000225364.1,ATP6V0E1P1,226
ENSG00000272023.1,CTC-350I8.1,395
ENSG00000229738.1,AC010240.3,459
ENSG00000199677.1,Y_RNA,102
ENSG00000155329.10,ZCCHC10,29620
ENSG00000248648.1,RP11-485M7.1,247
ENSG00000170606.12,HSPA4,54488
ENSG00000279691.1,RP11-485M7.2,203
ENSG00000251616.1,RP11-485M7.3,3421
ENSG00000248245.1,CTB-49A3.2,63976
ENSG00000240611.1,CTB-49A3.1,836
ENSG00000053108.15,FSTL4,416110
ENSG00000249478.1,CTB-49A3.5,5018
ENSG00000250244.4,CTB-49A3.4,19486
ENSG00000250409.1,CTB-3M24.3,777
